gid,raw,nowcast,lagged,dropnear
47009,0.9363503456115723,0.9573966860771179,0.9458414316177368,0.9418590068817139
48004,0.8940241932868958,0.9419795274734497,0.9026421308517456,0.9335187077522278
48005,0.9068745374679565,0.9399392008781433,0.9146344661712646,0.9450675249099731
48011,0.9056174159049988,0.9537463188171387,0.9127801060676575,0.9434812664985657
49002,0.8784254193305969,0.9031557440757751,0.8888106346130371,0.8933244943618774
49004,0.8769983649253845,0.9147096872329712,0.8864590525627136,0.9061415195465088
50001,0.9269872307777405,0.9631525278091431,0.9330352544784546,0.9451786279678345
50002,0.8914532661437988,0.9444356560707092,0.9006687998771667,0.9409438371658325
50006,0.9222936034202576,0.9377096891403198,0.9268133044242859,0.915939450263977
51001,0.8755161166191101,0.9066914319992065,0.8860594630241394,0.8883674144744873
52004,0.8434159755706787,0.904622495174408,0.8538683652877808,0.8994422554969788
52005,0.8854643702507019,0.9281836748123169,0.8912900686264038,0.9281883835792542
52006,0.8535947799682617,0.9173414707183838,0.8556825518608093,0.8610490560531616
52007,0.8179678320884705,0.8870748281478882,0.8227339386940002,0.8783882260322571
52009,0.870735228061676,0.8919006586074829,0.879654586315155,0.8984794020652771
52010,0.810822606086731,0.8723537921905518,0.8176068067550659,0.8800352811813354
52011,0.8425783514976501,0.8541896939277649,0.8742626309394836,0.8450356125831604
52016,0.8535667061805725,0.8528111577033997,0.868272602558136,0.8776904940605164
53005,0.8911216259002686,0.9446438550949097,0.9087036848068237,0.9357175827026367
53006,0.9016728401184082,0.9276338219642639,0.9016939401626587,0.9060320854187012
53007,0.8880958557128906,0.9333307147026062,0.8985883593559265,0.9154266119003296
53008,0.8589577078819275,0.9134431481361389,0.8827840089797974,0.872657299041748
53009,0.9156351685523987,0.960578441619873,0.9293308854103088,0.9418898820877075
53013,0.8537870049476624,0.8649523854255676,0.8457292318344116,0.8522855639457703
53018,0.9156272411346436,0.939313530921936,0.929206132888794,0.9428198337554932
54001,0.8248575925827026,0.802646279335022,0.7878287434577942,0.7847006320953369
54002,0.8736171126365662,0.8972824811935425,0.9064884185791016,0.9000622034072876
54003,0.7010253667831421,0.755358099937439,0.6887891888618469,0.7461345195770264
54004,0.8246181011199951,0.8133022785186768,0.8183737993240356,0.8499246835708618
54005,0.8767181634902954,0.8692833185195923,0.8649972081184387,0.865799069404602
54007,0.6684333086013794,0.7658562064170837,0.6645522117614746,0.7807324528694153
