,mu,sd,q90,q95,q99
49004,0.16210158169269562,0.13440421223640442,0.3089999854564667,0.4059999883174896,0.7098399806022645
50001,0.6957374811172485,0.5093978643417358,1.375,1.7050000429153442,2.441549923419952
50002,1.040708303451538,0.6207525730133057,1.876100039482117,2.3519999980926514,3.2720000743865967
50006,0.6640815734863281,0.3704443871974945,1.1369999647140503,1.375,2.0297299695014948
51001,0.3171209394931793,0.13987882435321808,0.49300000071525574,0.5818000078201286,0.8325599956512464
52004,0.2409222424030304,0.29398632049560547,0.453000009059906,0.8333999991416927,1.7180800104141307
52005,0.26363614201545715,0.24547390639781952,0.492000013589859,0.6655500143766396,1.436310003995895
52006,0.46445754170417786,0.5892876982688904,1.0160000324249268,1.7039999961853027,3.2442000293731588
52007,0.2525867819786072,0.41016101837158203,0.5720000267028809,1.294300031661983,2.074219918251037
52009,0.23495393991470337,0.15214067697525024,0.42320000529289226,0.5460000038146973,0.8097600007057192
52010,0.32333123683929443,0.40076830983161926,0.7310000061988831,1.1362000107765169,2.130120105743407
53005,0.9620503187179565,0.42473652958869934,1.5140000581741333,1.809000015258789,2.4321199798584012
53006,0.6958234906196594,0.4135439395904541,1.2869999408721924,1.5800000429153442,2.056999921798706
53007,1.0585625171661377,0.5084673762321472,1.7649999856948853,2.1355999469757068,2.774840087890625
53008,0.405166894197464,0.22774678468704224,0.6959999799728394,0.847000002861023,1.1561999559402436
53009,0.6934930682182312,0.288540780544281,1.093999981880188,1.2695000171661377,1.6263000369071972
53013,0.7422546744346619,0.328202486038208,1.159999966621399,1.4034500181674947,1.9160000085830688
53018,1.0468225479125977,0.3770535886287689,1.49399995803833,1.8179999589920044,2.534599947929381
54001,1.0829379558563232,0.8580076694488525,2.384000062942505,2.8929998874664307,3.8510000705718994
54002,0.7322574853897095,0.42367544770240784,1.2009999752044678,1.6307500004768372,2.490250051021576
54005,1.8042703866958618,1.2763251066207886,3.8590999603271507,4.605849957466126,5.704969925880431
54007,0.2784211039543152,0.22578194737434387,0.48500001430511475,0.7110000252723694,1.3123699593543978
54008,0.9270269274711609,0.5444976091384888,1.5770000219345093,2.0,2.992050099372863
54012,0.5789617896080017,0.28961747884750366,0.8790000081062317,1.1895500361919396,1.8241300415992712
54015,0.5468534231185913,0.4267131984233856,1.0549999475479126,1.5105999827384935,2.2210599517822263
54017,0.49100059270858765,0.4496965706348419,1.0081000089645389,1.6145499885082237,2.322729952335357
54018,0.40188756585121155,0.24723929166793823,0.7160000205039978,0.9100000262260437,1.3093699634075135
54019,0.3145083487033844,0.252290278673172,0.6240000128746033,0.8370000123977661,1.2899800014495846
54020,0.2461884319782257,0.15103837847709656,0.453000009059906,0.574999988079071,0.7900300210714347
54024,0.22806322574615479,0.119780033826828,0.36399999260902405,0.4519999921321869,0.6457300257682796
54027,0.3381996154785156,0.14021366834640503,0.5120000243186951,0.578000009059906,0.7155600130558027
54029,1.0499985218048096,0.7861706614494324,1.9190000295639038,2.6589999198913574,4.5229997634887695
54032,1.1805577278137207,1.0842113494873047,2.8989999294281006,3.9154999256134033,4.908699941635133
54034,0.20719918608665466,0.14063534140586853,0.3630000054836273,0.4659999907016754,0.7599999904632568
54036,0.22407853603363037,0.3044458329677582,0.3869999945163727,0.6930000185966492,1.7210599780082607
54057,1.680288553237915,1.1536316871643066,3.478400039672853,4.323999881744385,4.998000144958496
55002,1.160960078239441,1.066986322402954,2.6410000324249268,3.5517499446868896,5.027250051498413
55013,0.30008330941200256,0.24389326572418213,0.6100000143051147,0.7889999747276306,1.1823499691486352
55014,0.533560037612915,0.20918121933937073,0.8209999799728394,0.9503499835729593,1.20700997710228
55018,0.42836055159568787,0.33272451162338257,0.722000002861023,1.0301999688148487,2.097220044136047
55021,1.085151195526123,0.3674371838569641,1.5205000042915344,1.8855000138282776,2.646500051021576
68001,0.6888675689697266,0.47232216596603394,1.340999960899353,1.7669999599456787,2.4519800615310663
68003,0.5406559109687805,0.36069560050964355,0.8809999823570251,1.1710000038146973,2.1704399299621477
68004,0.3548523485660553,0.20210963487625122,0.5534999966621399,0.7210000157356262,1.2302999556064598
68005,0.4121299386024475,0.37116968631744385,0.8700000047683716,1.2419999837875366,1.9285499966144573
69015,0.22010944783687592,0.16706429421901703,0.41999998688697815,0.5410000085830688,0.8859999775886536
69027,0.2518920600414276,0.17369605600833893,0.45100000500679016,0.5951500266790386,0.9729999899864197
71001,1.4978852272033691,0.7100734710693359,2.448399972915651,2.969300079345699,4.148340034484856
71004,0.6656575202941895,0.44281357526779175,1.1692000150680548,1.583199954032895,2.54108009338378
71006,0.733590304851532,0.44008252024650574,1.3350000381469727,1.6430000066757202,2.3127800416946416
72002,0.6903809309005737,0.7006379961967468,1.561800026893615,2.3191499710082932,3.6455599141120887
72004,0.9423497319221497,0.798221230506897,2.02129991054535,2.7209999561309814,3.9160998916625998
72005,0.5929732322692871,0.38256433606147766,1.0946000099182132,1.3819999694824219,1.9393600130081146
73005,0.5855103731155396,0.29688581824302673,0.972000002861023,1.1670000553131104,1.6220399785041817
73010,0.8650086522102356,0.30397140979766846,1.2580000162124634,1.3684499979019153,1.5771800196170809
73011,0.4837968647480011,0.2739621102809906,0.8538999736309048,1.0420000553131104,1.3960000276565552
74001,0.48757538199424744,0.32025283575057983,0.9241000235080723,1.1180000305175781,1.5281100022792822
74006,0.3598848879337311,0.2048654407262802,0.6269999742507935,0.8059999942779541,1.121630005836486
75003,0.8957111835479736,0.4144257605075836,1.5,1.7384999692440033,2.1874499320983913
75004,0.5864053964614868,0.23606520891189575,0.9039999842643738,1.0525000095367432,1.3777000069618233
76005,0.6719501614570618,0.5595717430114746,1.3890000581741333,1.8769999742507935,2.8399999141693115
76007,1.2832930088043213,0.6741398572921753,2.1468000411987314,2.647900009155273,3.75278003692627
76008,0.5196453332901001,0.37709277868270874,0.9429000139236446,1.224449998140334,2.134430027008055
76011,0.22425681352615356,0.16843582689762115,0.47099998593330383,0.5973499983549112,0.7530100011825563
