gid,nse_raw,nse_norm,nse_log1p,nse_lstm,chalk,gauge_name,d_norm,d_log1p,d_lstm
21008,0.8468739986419678,0.8434328436851501,0.8430132269859314,0.8536308407783508,False,Teviot at Ormiston Mill,-0.003441154956817627,-0.003860771656036377,0.006756842136383057
21009,0.8958886861801147,0.8895111680030823,0.8914448022842407,0.9199745655059814,False,Tweed at Norham,-0.006377518177032471,-0.0044438838958740234,0.0240858793258667
21011,0.8061915636062622,0.8115662932395935,0.8145903944969177,0.8293882012367249,False,Yarrow Water at Philiphaugh,0.005374729633331299,0.008398830890655518,0.023196637630462646
21012,0.8626540899276733,0.8576183915138245,0.8497998714447021,0.8689220547676086,False,Teviot at Hawick,-0.005035698413848877,-0.012854218482971191,0.006267964839935303
21013,0.8086512088775635,0.806633472442627,0.8088367581367493,0.8313753604888916,False,Gala Water at Galashiels,-0.0020177364349365234,0.00018554925918579102,0.022724151611328125
21015,0.7460974454879761,0.7784779667854309,0.7775783538818359,0.7890755534172058,False,Leader Water at Earlston,0.032380521297454834,0.03148090839385986,0.042978107929229736
21016,0.777742862701416,0.7938276529312134,0.7801831960678101,0.8107815980911255,False,Eye Water at Eyemouth Mill,0.016084790229797363,0.002440333366394043,0.03303873538970947
21017,0.8471405506134033,0.8412671089172363,0.8421339988708496,0.8344557285308838,False,Ettrick Water at Brockhoperig,-0.005873441696166992,-0.005006551742553711,-0.012684822082519531
21018,0.8162961006164551,0.8221695423126221,0.8309141993522644,0.8431379199028015,False,Lyne Water at Lyne Station,0.005873441696166992,0.014618098735809326,0.026841819286346436
21022,0.7893584370613098,0.7810717821121216,0.7722916603088379,0.8469841480255127,False,Whiteadder Water at Hutton Castle,-0.008286654949188232,-0.017066776752471924,0.05762571096420288
21023,0.5210555791854858,0.5547417402267456,0.5175893306732178,0.6200006604194641,False,Leet Water at Coldstream,0.033686161041259766,-0.0034662485122680664,0.09894508123397827
21024,0.8194705247879028,0.8100374937057495,0.8096233606338501,0.8355872631072998,False,Jed Water at Jedburgh,-0.00943303108215332,-0.009847164154052734,0.016116738319396973
22001,0.8456252813339233,0.8485074043273926,0.8169514536857605,0.8971343040466309,False,Coquet at Morwick,0.0028821229934692383,-0.028673827648162842,0.05150902271270752
22006,0.8434042930603027,0.8534873723983765,0.842427134513855,0.9130234718322754,False,Blyth at Hartford Bridge,0.01008307933807373,-0.000977158546447754,0.06961917877197266
22007,0.8286720514297485,0.8233216404914856,0.8041982650756836,0.8829575181007385,False,Wansbeck at Mitford,-0.0053504109382629395,-0.02447378635406494,0.05428546667098999
22009,0.8220276236534119,0.8310585618019104,0.8021383285522461,0.8668339848518372,False,Coquet at Rothbury,0.009030938148498535,-0.01988929510116577,0.04480636119842529
23001,0.8653668761253357,0.86669921875,0.8675362467765808,0.8897150754928589,False,Tyne at Bywell,0.0013323426246643066,0.002169370651245117,0.024348199367523193
23004,0.8422224521636963,0.8352925777435303,0.8182401657104492,0.8717294335365295,False,South Tyne at Haydon Bridge,-0.006929874420166016,-0.02398228645324707,0.029506981372833252
23006,0.8353042006492615,0.837277889251709,0.8263317942619324,0.8623118996620178,False,South Tyne at Featherstone,0.0019736886024475098,-0.008972406387329102,0.027007699012756348
23007,0.8062993884086609,0.8051340579986572,0.7675813436508179,0.7879725694656372,False,Derwent at Rowlands Gill,-0.0011653304100036621,-0.03871804475784302,-0.01832681894302368
23008,0.8074567317962646,0.7987927198410034,0.7996349334716797,0.8183205127716064,False,Rede at Rede Bridge,-0.00866401195526123,-0.007821798324584961,0.010863780975341797
23011,0.8144111037254333,0.8159915208816528,0.809155285358429,0.8381807208061218,False,Kielder Burn at Kielder,0.0015804171562194824,-0.0052558183670043945,0.023769617080688477
24001,0.8444902896881104,0.837896466255188,0.8237816095352173,0.8720048666000366,False,Wear at Sunderland Bridge,-0.006593823432922363,-0.020708680152893066,0.02751457691192627
24003,0.7998621463775635,0.797684371471405,0.7548702359199524,0.8049748539924622,False,Wear at Stanhope,-0.0021777749061584473,-0.044991910457611084,0.005112707614898682
24004,0.8351766467094421,0.8419214487075806,0.8314377665519714,0.8558355569839478,False,Bedburn Beck at Bedburn,0.006744801998138428,-0.003738880157470703,0.020658910274505615
24005,0.7705209255218506,0.7983912825584412,0.7832916378974915,0.8348284959793091,False,Browney at Burnhall,0.027870357036590576,0.01277071237564087,0.0643075704574585
25001,0.8398851752281189,0.8410665988922119,0.8231242299079895,0.8577604293823242,False,Tees at Darlington Broken Scar,0.0011814236640930176,-0.016760945320129395,0.017875254154205322
25006,0.7979220747947693,0.8015815019607544,0.7808979749679565,0.8168509602546692,False,Greta at Rutherford Bridge,0.0036594271659851074,-0.017024099826812744,0.018928885459899902
25012,0.8500757217407227,0.8425825238227844,0.8264923095703125,0.8535231351852417,False,Harwood Beck at Harwood,-0.007493197917938232,-0.023583412170410156,0.003447413444519043
25020,0.8018262386322021,0.8272754549980164,0.8393052816390991,0.8644521236419678,False,Skerne at Preston le Skerne,0.02544921636581421,0.03747904300689697,0.06262588500976562
26003,0.6371787786483765,0.6998230218887329,0.7759493589401245,0.8550413250923157,True,Foston Beck at Foston Mill,0.06264424324035645,0.13877058029174805,0.2178625464439392
27001,0.8568820953369141,0.8488476276397705,0.8352221846580505,0.8656520247459412,False,Nidd at Hunsingore Weir,-0.008034467697143555,-0.021659910678863525,0.0087699294090271
27003,0.9067401885986328,0.90776526927948,0.9254932403564453,0.9321989417076112,False,Aire at Beal,0.001025080680847168,0.0187530517578125,0.025458753108978383
27006,0.8344828486442566,0.8117279410362244,0.8127171993255615,0.8269372582435608,False,Don at Sheffield Hadfields,-0.022754907608032227,-0.02176564931869507,-0.007545590400695801
27007,0.8451747894287109,0.8486387729644775,0.8382933139801025,0.8459996581077576,False,Ure at Westwick,0.0034639835357666016,-0.0068814754486083984,0.0008248686790466309
27009,0.8444874286651611,0.8450806140899658,0.8735719919204712,0.9110554456710817,False,Ouse at Skelton,0.0005931854248046875,0.02908456325531006,0.06656801700592052
27021,0.8691937923431396,0.8727794885635376,0.868996798992157,0.9176424741744996,False,Don at Doncaster,0.0035856962203979492,-0.00019699335098266602,0.048448681831359974
