gid,tree,lstm_e16,nowcast,q99_halfwidth,extrap_dur,peak_beyond_gauged
57008,-22.283728,-22.719585,-10.094672,10.535,0.01,False
58001,-24.584297,-25.941568,-14.034846,,0.02,True
58006,-30.836401,-28.240906,-8.17275,10.92,0.0,False
58008,-33.6978,-27.696651,-13.280639,11.780000000000001,0.0,False
58009,-16.453144,-17.77026,-7.224405,,0.02,False
59001,-41.270184,-36.500153,-18.13666,7.585,0.0,False
60002,-37.05226,-39.701843,-19.807962,10.935,0.0,False
60003,-30.310955,-29.901909,-16.092354,8.665,0.0,False
60005,-20.784306,-26.305729,-12.986696,10.39,,False
60006,-26.445618,-29.49445,-9.695843,11.86,0.0,False
60010,-27.684044,-31.263866,-18.893894,9.26,,False
61002,-30.243263,-32.367016,-21.756752,10.245000000000001,0.01,True
62001,-18.38442,-15.536087,-21.729149,8.375,0.05,True
63001,-40.450592,-39.185524,-21.694925,9.850000000000001,0.01,True
64002,-35.679688,-29.426733,-14.4145155,,0.04,True
65001,-42.774918,-25.03552,-8.202234,,0.04,True
65005,-27.902815,-31.231781,-22.79726,,0.09,True
65008,-43.66604,-30.559814,-23.297506,9.675,,False
66001,-19.098303,-14.023415,-20.011362,8.03,0.02,True
66004,65.26352,-6.350848,49.509476,7.6899999999999995,0.35,True
66011,-28.479338,-26.154514,-18.296154,9.48,0.0,False
67001,-4.4287057,-5.705452,-1.4741302,7.24,,False
67006,-12.512407,-26.991129,-21.44334,11.45,0.0,False
67008,4.7065916,-11.920219,11.606735,10.045,0.0,False
67015,-7.654619,-9.880978,-0.8420348,8.955,0.02,True
67018,-22.981777,-23.478703,-17.053396,7.895,0.01,True
68001,3.8546443,-16.239494,16.945028,,0.04,True
68003,-26.980236,-26.391994,-17.718544,13.995000000000001,0.01,True
68004,-30.898926,-40.32114,-15.820113,10.935,,False
68005,-23.62992,-36.975533,-21.159092,,0.01,True
69002,-24.002829,-23.970663,-14.657047,,,False
69015,-22.266378,-24.019182,4.0323734,11.08,0.03,True
69027,-27.887035,-24.63516,-21.340322,14.11,0.06,True
71001,-23.501553,-24.414667,-24.970936,13.115,0.0,False
71004,-22.7826,-23.156998,-10.793655,8.375,0.0,False
71006,-12.237246,-14.509932,-0.48868954,9.89,0.0,False
72002,-24.612621,-32.968708,-19.350426,10.105,0.0,False
72004,-33.447563,-23.610174,-19.730684,10.535,0.01,True
72005,-28.266727,-28.366917,-8.874896,14.735,0.01,True
73005,-22.250425,-26.396084,-3.088081,7.855,0.01,True
73010,-5.586806,-5.2609444,-0.6952286,9.43,0.03,True
73011,-23.943207,-27.701992,-5.6530805,11.955,0.01,True
74001,-15.2307625,-12.202496,-5.263814,8.370000000000001,0.43,True
74006,-22.887278,-24.69378,-9.894255,10.645,0.0,False
75003,-6.579292,-5.799779,2.607888,9.61,0.05,True
75004,-16.538876,-23.037535,-5.009049,12.254999999999999,0.03,True
76005,-28.908401,-29.090794,-30.10204,9.625,0.01,True
76007,-6.8955574,-11.260465,-9.016538,8.485,0.02,True
76008,-32.178467,-33.532597,-26.177387,14.9,0.0,False
76011,-9.216386,2.0425558,-3.9874315,,0.0,False
77002,-26.850464,-16.608414,-14.306604,9.015,0.01,True
78003,-19.948185,-2.5020628,-12.783728,8.32,0.0,False
78004,-27.796736,-25.288269,-17.449467,7.779999999999999,0.01,False
79002,-21.449253,-15.661472,-7.997626,9.78,0.0,False
79003,-19.813747,-21.276508,-12.757316,7.595000000000001,0.09,True
79004,-9.634983,-17.958004,-5.95192,,0.0,False
79005,-24.582653,-19.91872,-14.218005,8.04,0.02,False
79006,-23.242828,-16.79015,-6.062424,,0.0,False
80001,-28.083101,-24.652569,-20.890696,11.565,0.0,False
81003,-21.765682,-11.566458,-9.378424,,0.0,False
82001,-3.2318144,-10.345837,10.791737,9.74,0.23,True
82003,-32.73796,-28.244556,-21.54343,8.67,0.0,False
83003,-16.009209,-18.496418,-15.577084,,0.08,True
83004,-16.00412,-22.10092,-3.9121537,10.945,0.1,True
84001,-11.587885,-7.9941187,-4.631269,9.76,0.01,False
84004,-19.688982,-17.324162,-7.9718504,15.46,0.0,False
84005,-11.399126,-10.736579,-2.5949001,,0.0,False
84008,-28.410404,-23.742035,-18.852398,7.825,,False
84012,-4.119155,-6.69629,3.9163888,15.76,0.02,False
84013,-2.2690177,-7.547516,-0.062692165,10.475000000000001,0.08,True
84014,-18.554432,-16.726353,-4.4934244,8.175,0.01,False
84016,21.403557,13.859517,22.384876,20.15,0.02,False
84017,-2.3436933,-6.039402,0.9497404,9.190000000000001,0.09,True
84018,-7.8555794,-8.164167,2.91965,7.775,0.06,True
84019,-17.73261,-19.506813,-17.684605,8.515,0.21,True
84020,-9.769583,-14.478809,-16.49358,15.254999999999999,0.01,False
84022,-23.703634,-23.512016,-9.3846,14.02,,False
85001,19.216377,0.7339895,6.4242005,12.42,0.17,True
85002,-15.130245,-21.17379,-30.395218,14.64,0.01,False
85003,-4.473269,8.036995,7.7708006,11.55,0.0,False
94001,5.357039,-6.2573347,6.9956484,,0.01,False
97002,-18.059492,-21.164204,-21.165197,,0.01,False
101002,-29.066784,-43.22938,3.3150554,9.485,,False
