gid,direct_L1,flowmap_L1,persist_L1,direct_L2,flowmap_L2,persist_L2,direct_L3,flowmap_L3,persist_L3
38018,0.8689288,0.846518,0.78753567,0.7700834,0.7209382,0.57099706,0.7198887,0.6430894,0.44366604
38021,0.7443713,0.69765234,0.5044822,0.596403,0.54551554,0.1554991,0.53175974,0.4619633,0.009390414
39001,0.8029644,0.5955937,0.75368315,0.69236696,0.5615391,0.5410414,0.59796256,0.51889503,0.3447606
39010,0.94837266,0.7668083,0.9308034,0.8964132,0.606517,0.86325806,0.86549324,0.40929055,0.814673
39011,0.85847014,0.8117728,0.6560607,0.674191,0.60899866,0.25179893,0.5890233,0.5122348,0.06837481
39012,0.50773156,0.39918333,0.0004028678,0.37440324,0.20944178,-0.43772662,0.33018363,0.14858961,-0.52153695
39014,0.9351511,0.81930494,0.9183856,0.8992,0.64307296,0.86935514,0.8764657,0.51880056,0.84141934
39016,0.9646493,0.9034,0.9306279,0.9188135,0.8610143,0.84087265,0.88992614,0.8168648,0.78100395
39020,0.9894895,0.9731696,0.994795,0.9813647,0.94611675,0.9876107,0.971106,0.9281857,0.97875756
39023,0.7322903,0.5280937,0.5304438,0.65603936,0.3573051,0.38811797,0.62669903,0.19498515,0.3736729
39025,0.89533126,0.8733406,0.74699986,0.7742072,0.7558401,0.48550266,0.7289245,0.7144159,0.3718943
39027,0.9311426,0.7898649,0.9552558,0.8699533,0.69746935,0.88235945,0.8130836,0.61391115,0.8037446
39028,0.9742677,0.8840405,0.9778507,0.9549624,0.80121964,0.95965207,0.94119376,0.71853614,0.94653934
39029,0.7785599,0.6238421,0.566023,0.57171524,0.025747597,0.074132085,0.4865808,-0.18752337,-0.14649963
39035,0.9733977,0.89363325,0.9668446,0.95731306,0.8896338,0.94795376,0.94197863,0.88295686,0.93601644
39036,0.72997004,0.42408168,0.52686626,0.61650956,-0.32027292,0.25347388,0.5890695,-0.7817664,0.16863471
39037,0.9878229,0.96162385,0.98830795,0.97712326,0.93052596,0.97527766,0.9635668,0.89445966,0.9650521
39042,0.97689545,0.9238742,0.98463947,0.9605844,0.8930478,0.9626154,0.93404984,0.8663834,0.9363801
39052,0.60852116,0.52602637,0.31000364,0.4663871,0.38800925,-0.057516336,0.41870534,0.3231045,-0.21905327
39061,0.98139876,0.962193,0.9911044,0.9704384,0.94446087,0.98524433,0.95675904,0.9178849,0.97937584
39081,0.935361,0.7827072,0.9304786,0.8650464,0.722062,0.8076717,0.82010627,0.6181738,0.68249756
40005,0.916378,0.74093014,0.74220574,0.79324234,0.59289193,0.3933847,0.6909443,0.4831288,0.16914964
40009,0.73976636,0.6541951,0.48283845,0.5651539,0.502234,0.12677181,0.519001,0.4786414,0.009815276
41005,0.8555238,0.82715434,0.6089919,0.67874336,0.6625855,0.23903829,0.6181412,0.6038102,0.11201364
41006,0.72172976,0.62390816,0.30825227,0.5420531,0.47985417,-0.027326465,0.49118096,0.42606038,-0.11435461
41011,0.7969377,0.7892026,0.5467291,0.66284883,0.66395015,0.21216482,0.6300671,0.64269257,0.13422555
41022,0.81444347,0.79932743,0.49806362,0.6631675,0.6614773,0.1571464,0.63706994,0.6415378,0.05357486
41023,0.9870566,0.529377,0.99491215,0.9751879,0.46786404,0.9885488,0.9623179,0.45233,0.9810178
41027,0.63126427,0.6178986,0.23167771,0.46578282,0.481642,-0.14874351,0.4415272,0.46757823,-0.22541595
42001,0.8218759,0.6132047,0.54316074,0.67218995,0.4785096,0.26352596,0.6249754,0.4218945,0.18236798
42008,0.95519406,0.91644824,0.94835544,0.9472294,0.8706535,0.9377293,0.93860084,0.83264756,0.92979187
43005,0.98379576,0.9649751,0.98645043,0.967307,0.93157744,0.96288836,0.9512866,0.8914055,0.9409203
43006,0.93957853,0.9242418,0.859431,0.8786627,0.84369045,0.70859927,0.8370433,0.7975955,0.6421667
43007,0.94618267,0.91509634,0.9142089,0.90634775,0.8641778,0.77606153,0.87850577,0.8353326,0.66308016
43008,0.98658663,0.96923786,0.98970336,0.9753931,0.9259555,0.97429395,0.9650643,0.88690007,0.9611751
43009,0.9070833,0.88947403,0.7291639,0.7921963,0.7706484,0.3880189,0.70151234,0.68899953,0.18479091
43014,0.88886553,0.84329253,0.76224756,0.799371,0.76305795,0.57394725,0.76200616,0.67418724,0.4966135
43017,0.9540145,0.93333197,0.90410835,0.90222037,0.8564974,0.7893698,0.8677907,0.8243021,0.7164683
44002,0.9706034,0.93148357,0.9568952,0.94578505,0.9059191,0.9155871,0.9314788,0.88943547,0.8898211
44006,0.92064124,0.8881199,0.87263036,0.89553815,0.85821784,0.8267081,0.8802081,0.8234579,0.81203043
45001,0.8600403,0.84352386,0.7179204,0.7161201,0.7331924,0.50513804,0.65275526,0.6819413,0.36684567
45003,0.8070023,0.7750033,0.5077112,0.61415994,0.60160077,0.12852538,0.53292227,0.5277957,-0.028875828
45004,0.7977276,0.7832184,0.5028561,0.6190352,0.64192593,0.121172965,0.5491559,0.5779666,-0.022096038
45005,0.770669,0.7336293,0.41371334,0.5890331,0.57007253,0.025231123,0.50368255,0.49438888,-0.12408948
45009,0.8839853,0.88353205,0.82434636,0.78554136,0.7967925,0.666893,0.7202772,0.7405851,0.5313258
45012,0.8395712,0.8054679,0.61549705,0.69374645,0.6762406,0.3682518,0.649369,0.6377445,0.2554776
