gid,nse_gauged,nse_ung_raw,nse_ung_now,chalk,gauge_name,pen_raw,pen_now,nse_ung_sim,pen_sim,nse_ung_trust,pen_trust
29002,0.6888939142227173,0.6582069993019104,0.6822682619094849,True,Great Eau at Claythorpe Mill,0.0306869149208068,0.0066256523132324,0.7726992964744568,-0.0838053822517395,0.7721188068389893,-0.08322489261627197
29003,0.7064652442932129,0.6909641027450562,0.6490696668624878,True,Lud at Louth,0.0155011415481567,0.0573955774307251,0.8188750147819519,-0.112409770488739,0.781467080116272,-0.07500183582305908
29005,0.3064011335372925,0.2235973477363586,0.2933052778244018,False,Rase at Bishopbridge,0.0828037858009339,0.0130958557128906,0.2950415015220642,0.0113596320152282,0.297791063785553,0.008610069751739502
30001,0.8384559750556946,0.8086341023445129,0.8617419004440308,False,Witham at Claypole Mill,0.0298218727111816,-0.0232859253883361,0.8519405126571655,-0.0134845376014709,0.8818259239196777,-0.043369948863983154
30004,0.6556258797645569,0.5571422576904297,0.5222319960594177,False,Lymn at Partney Mill,0.0984836220741272,0.1333938837051391,0.4670416116714477,0.1885842680931091,0.6549798846244812,0.0006459951400756836
30005,0.7766292095184326,0.7696043848991394,0.7773969173431396,True,Witham at Saltersford Total,0.0070248246192932,-0.000767707824707,0.8736040592193604,-0.0969748497009277,0.8162993788719177,-0.03967016935348511
30011,0.7962015867233276,0.8066504597663879,0.8641259670257568,False,Bain at Goulceby Bridge,-0.0104488730430603,-0.0679243803024292,0.7645366191864014,0.0316649675369262,0.8006247878074646,-0.004423201084136963
30012,0.7557295560836792,0.7609509825706482,0.7805572748184204,False,Stainfield Beck at Cream Poke Farm,-0.0052214264869689,-0.0248277187347412,0.7638718485832214,-0.0081422924995422,0.7569023370742798,-0.001172780990600586
30014,0.7501037120819092,0.7290824055671692,0.7779691815376282,False,Pointon Lode at Pointon,0.0210213065147399,-0.0278654694557189,0.7983720302581787,-0.0482683181762695,0.7935675382614136,-0.043463826179504395
31002,0.7052291631698608,0.3742843270301819,0.4856888055801391,False,Glen at Kates Br & King St Br,0.3309448361396789,0.2195403575897216,0.4710414409637451,0.2341877222061157,0.5523793697357178,0.15284979343414307
31006,-0.2769409418106079,-1.922537326812744,-2.253627061843872,False,Gwash at Belmesthorpe,1.645596385002136,1.976686120033264,-2.971984624862671,2.695043683052063,-2.207834005355835,1.930893063545227
31010,0.7444839477539062,0.5986796617507935,0.6713483929634094,False,Chater at Fosters Bridge,0.1458042860031128,0.0731355547904968,0.6293877363204956,0.1150962114334106,0.6223118305206299,0.12217211723327637
31021,0.7824755907058716,0.7865327596664429,0.8392952680587769,False,Welland at Ashley,-0.0040571689605712,-0.0568196773529052,0.8535814881324768,-0.0711058974266052,0.8393199443817139,-0.056844353675842285
